divid,exp.max.premath.std,max.premath.std,scaled.premath,exp.max.postmath.std,max.postmath.std,scaled.postmath,rank,male,numstud,bot20,bal,mumbai,year,city,classyearid
415,0.11184544751874947,1,11,0.21465567572322397,0,13.5,24,1,94,0,1,1,1,Mumbai,415
415,0.29784463043330484,0,14.5,0.21465567572322397,0,13.5,60,1,94,0,1,1,1,Mumbai,415
415,0.11184544751874947,1,11,0.35727178942193777,0,16,46,1,94,0,1,1,1,Mumbai,415
415,0.15516123651265945,1,12,0.1891201858982725,0,13,49,1,94,0,1,1,1,Mumbai,415
415,0.23306896863446463,0,13.5,1.154421990579205,0,23,52,1,94,0,1,1,1,Mumbai,415
415,0.418347963605005,0,16,0.9675100902233738,2,22,65,1,94,0,1,1,1,Mumbai,415
415,1.1509663939174057,1,22.5,0.7281963187893146,2,20.5,86.5,1,94,0,1,1,1,Mumbai,415
415,1.2289989973150477,1,23,2.3579816950605945,3,28,84.5,1,94,0,1,1,1,Mumbai,415
415,0.13288189922870902,1,11.5,0.6646089610311775,1,20,34,1,94,0,1,1,1,Mumbai,415
415,0.8150595147623292,1,20,1.154421990579205,1,23,53.5,1,94,0,1,1,1,Mumbai,415
415,0.009325595471175823,0,1,0.1891201858982725,0,13,3,0,94,1,1,1,1,Mumbai,415
415,0.030824812581009192,0,8,0.4763052851533662,0,18,16.5,1,94,1,1,1,1,Mumbai,415
415,-0.005511988974357304,0,5.5,4.249772096449932e-4,0,6.5,4,1,94,1,1,1,1,Mumbai,415
415,0.021271945294173707,0,7.5,0.24114281878816873,1,14,19,1,94,1,1,1,1,Mumbai,415
415,0.005053649559544704,0,6.5,0.04007208785849348,0,9,19,1,94,1,1,1,1,Mumbai,415
415,-0.011730569483715973,0,4,0.5597919577059098,1,19,25.5,1,94,0,1,1,1,Mumbai,415
415,-9.080702872152121e-4,0,6,0.005731381568919353,0,7,30,1,94,0,1,1,1,Mumbai,415
415,0.11184544751874947,1,11,0.2683321947565478,0,14.5,16.5,1,94,1,1,1,1,Mumbai,415
415,1.7868372022506107,2,26,2.9706990606882417,3,30,92,0,94,0,1,1,1,Mumbai,415
415,2.003741262955117,2,27,2.654734211264683,2,29,93,0,94,0,1,1,1,Mumbai,415
415,1.585251635381727,2,25,2.3579816950605945,2,28,91,0,94,0,1,1,1,Mumbai,415
415,0.3351562345493845,0,15,0.5597919577059098,0,19,61,0,94,0,1,1,1,Mumbai,415
415,0.8150595147623292,0,20,0.9675100902233738,2,22,62,0,94,0,1,1,1,Mumbai,415
415,0.05123344940392207,0,9,0.4193332461017826,0,17,38.5,0,94,0,1,1,1,Mumbai,415
415,0.07685145957630846,0,10,0.6646089610311775,0,20,27.5,0,94,0,1,1,1,Mumbai,415
415,0.11184544751874947,0,11,0.1891201858982725,0,13,32,0,94,0,1,1,1,Mumbai,415
415,0.20489353053293644,0,13,0.6646089610311775,1,20,41,0,94,0,1,1,1,Mumbai,415
415,0.5086152688934107,0,17,1.8223176744571294,2,26,76,0,94,0,1,1,1,Mumbai,415
415,0.15516123651265945,0,12,2.654734211264683,2,29,41,0,94,0,1,1,1,Mumbai,415
415,0.012428533706486364,0,7,0.10086891016810756,0,11,10.5,0,94,1,1,1,1,Mumbai,415
415,0.7022094137270131,0,19,1.582850216423377,2,25,68,0,94,0,1,1,1,Mumbai,415
415,2.483141650112896,2,29,0.5131917069715144,0,18.5,65,0,94,0,1,1,1,Mumbai,415
415,-0.00980764169644881,0,3,0.5597919577059098,0,19,25.5,0,94,0,1,1,1,Mumbai,415
415,1.0772053909865469,1,22,1.4699252360866948,2,24.5,63,0,94,0,1,1,1,Mumbai,415
415,1.585251635381727,2,25,2.9706990606882417,3,30,89.5,0,94,0,1,1,1,Mumbai,415
415,1.2289989973150477,1,23,0.5597919577059098,1,19,44,0,94,0,1,1,1,Mumbai,415
416,1.0772053909865469,1,22,0.9675100902233738,2,22,98.5,0,104,0,0,1,1,Mumbai,416
416,0.026753440928014096,0,0,-0.007473907838001318,0,2.5,1,0,104,1,0,1,1,Mumbai,416
416,0.026753440928014096,0,0,0.02137945219146313,0,0,2,0,104,1,0,1,1,Mumbai,416
416,0.9405346126914554,1,21,1.154421990579205,1,23,101,0,104,0,0,1,1,Mumbai,416
416,1.0772053909865469,1,22,1.154421990579205,2,23,101,0,104,0,0,1,1,Mumbai,416
416,-0.008813469642445509,0,5,-0.0038836233964562295,0,6,63.5,0,104,0,0,1,1,Mumbai,416
416,-0.008813469642445509,0,5,-0.012526025791768688,0,4,63.5,0,104,0,0,1,1,Mumbai,416
416,0.5086152688934107,1,17,1.700258638895511,3,25.5,96.5,0,104,0,0,1,1,Mumbai,416
416,-0.00980764169644881,0,3,-0.003760729103452741,0,2,17.5,0,104,1,0,1,1,Mumbai,416
416,0.6020514626999097,0,18,0.1891201858982725,0,13,94.5,0,104,0,0,1,1,Mumbai,416
416,-0.0028251760575650157,0,2,-0.010210979252664683,0,3,30,0,104,0,0,1,1,Mumbai,416
